"to","from","points"
"UKR","DNK",1
"ALB","DNK",0
"HRV","DNK",0
"ESP","DNK",0
"CYP","DNK",0
"RUS","DNK",10
"ARM","DNK",0
"AUT","DNK",0
"NLD","DNK",0
"FIN","DNK",0
"HUN","DNK",0
"IRL","DNK",0
"SRB","DNK",0
"CHE","DNK",0
"FRA","EST",6
"ITA","EST",7
"BGR","EST",0
"BEL","EST",4
"AUS","EST",8
"PRT","EST",12
"SWE","EST",10
"AZE","EST",2
"ISR","EST",0
"DEU","EST",0
"GRC","EST",0
"GBR","EST",3
"UKR","EST",0
"ALB","EST",0
"HRV","EST",0
"ESP","EST",0
"CYP","EST",0
"RUS","EST",5
"ARM","EST",0
"AUT","EST",0
"NLD","EST",0
"FIN","EST",0
"HUN","EST",1
"IRL","EST",0
"SRB","EST",0
"CHE","EST",0
"FRA","MKD",6
"ITA","MKD",0
"BGR","MKD",4
"BEL","MKD",0
"AUS","MKD",10
"PRT","MKD",0
"SWE","MKD",0
"AZE","MKD",5
"ISR","MKD",0
"DEU","MKD",12
"GRC","MKD",7
"GBR","MKD",0
"UKR","MKD",0
"ALB","MKD",8
"HRV","MKD",0
"ESP","MKD",0
"CYP","MKD",2
"RUS","MKD",0
"ARM","MKD",3
"AUT","MKD",0
"NLD","MKD",0
"FIN","MKD",0
"HUN","MKD",0
"IRL","MKD",0
"SRB","MKD",0
"CHE","MKD",0
"FRA","HUN",12
"ITA","HUN",7
"BGR","HUN",5
"BEL","HUN",4
"AUS","HUN",8
"PRT","HUN",10
"SWE","HUN",0
"AZE","HUN",0
"ISR","HUN",0
"DEU","HUN",3
"GRC","HUN",6
"GBR","HUN",0
"UKR","HUN",0
"ALB","HUN",2
"HRV","HUN",0
"ESP","HUN",0
"CYP","HUN",0
"RUS","HUN",0
"ARM","HUN",1
"AUT","HUN",0
"NLD","HUN",0
"FIN","HUN",0
"HUN","HUN",0
"IRL","HUN",0
"SRB","HUN",0
"CHE","HUN",0
"FRA","IRL",8
"ITA","IRL",10
"BGR","IRL",6
"BEL","IRL",0
"AUS","IRL",5
"PRT","IRL",7
"SWE","IRL",0
"AZE","IRL",3
"ISR","IRL",0
"DEU","IRL",2
"GRC","IRL",0
"GBR","IRL",12
"UKR","IRL",0
"ALB","IRL",1
"HRV","IRL",0
"ESP","IRL",0
"CYP","IRL",4
"RUS","IRL",0
"ARM","IRL",0
"AUT","IRL",0
"NLD","IRL",0
"FIN","IRL",0
"HUN","IRL",0
"IRL","IRL",0
"SRB","IRL",0
"CHE","IRL",0
"FRA","ISR",12
"ITA","ISR",7
"BGR","ISR",10
"BEL","ISR",8
"AUS","ISR",6
"PRT","ISR",0
"SWE","ISR",0
"AZE","ISR",5
"ISR","ISR",0
"DEU","ISR",3
"GRC","ISR",1
"GBR","ISR",0
"UKR","ISR",4
"ALB","ISR",0
"HRV","ISR",0
"ESP","ISR",0
"CYP","ISR",0
"RUS","ISR",0
"ARM","ISR",0
"AUT","ISR",2
"NLD","ISR",0
"FIN","ISR",0
"HUN","ISR",0
"IRL","ISR",0
"SRB","ISR",0
"CHE","ISR",0
"FRA","LTU",7
"ITA","LTU",12
"BGR","LTU",6
"BEL","LTU",10
"AUS","LTU",8
"PRT","LTU",4
"SWE","LTU",0
"AZE","LTU",5
"ISR","LTU",3
"DEU","LTU",2
"GRC","LTU",0
"GBR","LTU",0
"UKR","LTU",0
"ALB","LTU",0
"HRV","LTU",0
"ESP","LTU",0
"CYP","LTU",0
"RUS","LTU",0
"ARM","LTU",0
"AUT","LTU",1
"NLD","LTU",0
"FIN","LTU",0
"HUN","LTU",0
"IRL","LTU",0
"SRB","LTU",0
"CHE","LTU",0
"FRA","MLT",8
"ITA","MLT",12
"BGR","MLT",10
"BEL","MLT",3
"AUS","MLT",6
"PRT","MLT",0
"SWE","MLT",7
"AZE","MLT",0
"ISR","MLT",5
"DEU","MLT",0
"GRC","MLT",1
"GBR","MLT",0
"UKR","MLT",0
"ALB","MLT",0
"HRV","MLT",0
"ESP","MLT",4
"CYP","MLT",0
"RUS","MLT",2
"ARM","MLT",0
"AUT","MLT",0
"NLD","MLT",0
"FIN","MLT",0
"HUN","MLT",0
"IRL","MLT",0
"SRB","MLT",0
"CHE","MLT",0
"FRA","NLD",6
"ITA","NLD",8
"BGR","NLD",7
"BEL","NLD",12
"AUS","NLD",10
"PRT","NLD",0
"SWE","NLD",1
"AZE","NLD",0
"ISR","NLD",4
"DEU","NLD",3
"GRC","NLD",0
"GBR","NLD",5
"UKR","NLD",0
"ALB","NLD",0
"HRV","NLD",0
"ESP","NLD",2
"CYP","NLD",0
"RUS","NLD",0
"ARM","NLD",0
"AUT","NLD",0
"NLD","NLD",0
"FIN","NLD",0
"HUN","NLD",0
"IRL","NLD",0
"SRB","NLD",0
"CHE","NLD",0
"FRA","NOR",4
"ITA","NOR",6
"BGR","NOR",10
"BEL","NOR",7
"AUS","NOR",8
"PRT","NOR",12
"SWE","NOR",2
"AZE","NOR",0
"ISR","NOR",3
"DEU","NOR",0
"GRC","NOR",0
"GBR","NOR",0
"UKR","NOR",0
"ALB","NOR",0
"HRV","NOR",0
"ESP","NOR",0
"CYP","NOR",0
"RUS","NOR",0
"ARM","NOR",0
"AUT","NOR",5
"NLD","NOR",0
"FIN","NOR",0
"HUN","NOR",0
"IRL","NOR",1
"SRB","NOR",0
"CHE","NOR",0
"FRA","ROU",10
"ITA","ROU",5
"BGR","ROU",12
"BEL","ROU",7
"AUS","ROU",8
"PRT","ROU",6
"SWE","ROU",2
"AZE","ROU",0
"ISR","ROU",4
"DEU","ROU",0
"GRC","ROU",0
"GBR","ROU",0
"UKR","ROU",0
"ALB","ROU",0
"HRV","ROU",0
"ESP","ROU",0
"CYP","ROU",0
"RUS","ROU",0
"ARM","ROU",0
"AUT","ROU",0
"NLD","ROU",0
"FIN","ROU",0
"HUN","ROU",3
"IRL","ROU",1
"SRB","ROU",0
"CHE","ROU",0
"FRA","RUS",10
"ITA","RUS",5
"BGR","RUS",3
"BEL","RUS",8
"AUS","RUS",4
"PRT","RUS",0
"SWE","RUS",6
"AZE","RUS",7
"ISR","RUS",0
"DEU","RUS",0
"GRC","RUS",0
"GBR","RUS",0
"UKR","RUS",12
"ALB","RUS",0
"HRV","RUS",0
"ESP","RUS",0
"CYP","RUS",0
"RUS","RUS",0
"ARM","RUS",1
"AUT","RUS",2
"NLD","RUS",0
"FIN","RUS",0
"HUN","RUS",0
"IRL","RUS",0
"SRB","RUS",0
"CHE","RUS",0
"FRA","SMR",12
"ITA","SMR",0
"BGR","SMR",0
"BEL","SMR",0
"AUS","SMR",0
"PRT","SMR",0
"SWE","SMR",0
"AZE","SMR",0
"ISR","SMR",0
"DEU","SMR",0
"GRC","SMR",0
"GBR","SMR",0
"UKR","SMR",0
"ALB","SMR",0
"HRV","SMR",0
"ESP","SMR",0
"CYP","SMR",0
"RUS","SMR",0
"ARM","SMR",0
"AUT","SMR",0
"NLD","SMR",0
"FIN","SMR",0
"HUN","SMR",0
"IRL","SMR",0
"SRB","SMR",0
"CHE","SMR",0
"FRA","SRB",5
"ITA","SRB",10
"BGR","SRB",8
"BEL","SRB",4
"AUS","SRB",0
"PRT","SRB",6
"SWE","SRB",2
"AZE","SRB",3
"ISR","SRB",0
"DEU","SRB",1
"GRC","SRB",0
"GBR","SRB",0
"UKR","SRB",0
"ALB","SRB",7
"HRV","SRB",12
"ESP","SRB",0
"CYP","SRB",0
"RUS","SRB",0
"ARM","SRB",0
"AUT","SRB",0
"NLD","SRB",0
"FIN","SRB",0
"HUN","SRB",0
"IRL","SRB",0
"SRB","SRB",0
"CHE","SRB",0
"FRA","CHE",12
"ITA","CHE",10
"BGR","CHE",4
"BEL","CHE",7
"AUS","CHE",3
"PRT","CHE",2
"SWE","CHE",0
"AZE","CHE",0
"ISR","CHE",0
"DEU","CHE",8
"GRC","CHE",0
"GBR","CHE",0
"UKR","CHE",0
"ALB","CHE",0
"HRV","CHE",5
"ESP","CHE",6
"CYP","CHE",0
"RUS","CHE",0
"ARM","CHE",0
"AUT","CHE",0
"NLD","CHE",1
"FIN","CHE",0
"HUN","CHE",0
"IRL","CHE",0
"SRB","CHE",0
"CHE","CHE",0
"FRA","FRA",0
"ITA","FRA",10
"BGR","FRA",7
"BEL","FRA",12
"AUS","FRA",0
"PRT","FRA",8
"SWE","FRA",4
"AZE","FRA",3
"ISR","FRA",5
"DEU","FRA",0
"GRC","FRA",0
"GBR","FRA",6
"UKR","FRA",0
"ALB","FRA",0
"HRV","FRA",0
"ESP","FRA",2
"CYP","FRA",0
"RUS","FRA",0
"ARM","FRA",0
"AUT","FRA",0
"NLD","FRA",0
"FIN","FRA",0
"HUN","FRA",0
"IRL","FRA",0
"SRB","FRA",0
"CHE","FRA",1
"FRA","DEU",10
"ITA","DEU",12
"BGR","DEU",3
"BEL","DEU",6
"AUS","DEU",5
"PRT","DEU",7
"SWE","DEU",4
"AZE","DEU",0
"ISR","DEU",1
"DEU","DEU",0
"GRC","DEU",8
"GBR","DEU",0
"UKR","DEU",0
"ALB","DEU",0
"HRV","DEU",0
"ESP","DEU",0
"CYP","DEU",0
"RUS","DEU",0
"ARM","DEU",0
"AUT","DEU",2
"NLD","DEU",0
"FIN","DEU",0
"HUN","DEU",0
"IRL","DEU",0
"SRB","DEU",0
"CHE","DEU",0
"FRA","ITA",12
"ITA","ITA",0
"BGR","ITA",10
"BEL","ITA",5
"AUS","ITA",0
"PRT","ITA",3
"SWE","ITA",1
"AZE","ITA",0
"ISR","ITA",4
"DEU","ITA",0
"GRC","ITA",0
"GBR","ITA",0
"UKR","ITA",2
"ALB","ITA",7
"HRV","ITA",6
"ESP","ITA",0
"CYP","ITA",0
"RUS","ITA",0
"ARM","ITA",0
"AUT","ITA",8
"NLD","ITA",0
"FIN","ITA",0
"HUN","ITA",0
"IRL","ITA",0
"SRB","ITA",0
"CHE","ITA",0
"FRA","ESP",8
"ITA","ESP",12
"BGR","ESP",5
"BEL","ESP",6
"AUS","ESP",3
"PRT","ESP",10
"SWE","ESP",7
"AZE","ESP",1
"ISR","ESP",4
"DEU","ESP",2
"GRC","ESP",0
"GBR","ESP",0
"UKR","ESP",0
"ALB","ESP",0
"HRV","ESP",0
"ESP","ESP",0
"CYP","ESP",0
"RUS","ESP",0
"ARM","ESP",0
"AUT","ESP",0
"NLD","ESP",0
"FIN","ESP",0
"HUN","ESP",0
"IRL","ESP",0
"SRB","ESP",0
"CHE","ESP",0
"FRA","UKR",10
"ITA","UKR",6
"BGR","UKR",0
"BEL","UKR",7
"AUS","UKR",12
"PRT","UKR",0
"SWE","UKR",8
"AZE","UKR",4
"ISR","UKR",1
"DEU","UKR",0
"GRC","UKR",0
"GBR","UKR",5
"UKR","UKR",0
"ALB","UKR",0
"HRV","UKR",0
"ESP","UKR",0
"CYP","UKR",0
"RUS","UKR",0
"ARM","UKR",0
"AUT","UKR",0
"NLD","UKR",0
"FIN","UKR",2
"HUN","UKR",0
"IRL","UKR",0
"SRB","UKR",0
"CHE","UKR",3
"FRA","GBR",10
"ITA","GBR",8
"BGR","GBR",4
"BEL","GBR",6
"AUS","GBR",12
"PRT","GBR",2
"SWE","GBR",7
"AZE","GBR",0
"ISR","GBR",0
"DEU","GBR",1
"GRC","GBR",5
"GBR","GBR",0
"UKR","GBR",0
"ALB","GBR",0
"HRV","GBR",0
"ESP","GBR",0
"CYP","GBR",0
"RUS","GBR",0
"ARM","GBR",0
"AUT","GBR",0
"NLD","GBR",0
"FIN","GBR",0
"HUN","GBR",0
"IRL","GBR",3
"SRB","GBR",0
"CHE","GBR",0
